12/30 08:59:56.581  Gift of the Wild fades from Thefireball.
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: merlot&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:00:25.864  RABLOG_PLAYERS_WITH: giants&Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Bassilthorne [Warrior; G2], Voxii [Warrior; G3], Jidcat [Druid; G3], Kurzik [Warrior; G5]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: giants&Tumblemore [Druid; G2], Wixture [Warrior; G3], Littlemouth [Warrior; G3], Mewnfyre [Druid; G4], Buffnut [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Kittira [Druid; G6]
12/30 20:00:25.864  RABLOG_PLAYERS_WITH: firewater&Drube [Druid; G1], Hooliganscha [Druid; G1], Voxii [Warrior; G3]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: firewater&Thundrix [Shaman; G1], Bassilthorne [Warrior; G2], Saspatoon [Warrior; G2], Tumblemore [Druid; G2], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Wixture [Warrior; G3], Jidcat [Druid; G3], Littlemouth [Warrior; G3], Buffnut [Druid; G4], Waveh [Shaman; G4], Mewnfyre [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Cellsham [Shaman; G5], Kurzik [Warrior; G5], Kittira [Druid; G6]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: jujumight&Drube [Druid; G1], Hooliganscha [Druid; G1], Thundrix [Shaman; G1], Bassilthorne [Warrior; G2], Saspatoon [Warrior; G2], Tumblemore [Druid; G2], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Littlemouth [Warrior; G3], Buffnut [Druid; G4], Waveh [Shaman; G4], Mewnfyre [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Cellsham [Shaman; G5], Kurzik [Warrior; G5], Kittira [Druid; G6]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: mushroomstam&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: telabimdelight&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: greaterarcane&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:00:25.864  RABLOG_PLAYERS_WITH: dreamshard&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Boath [Paladin; G4]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: dreamshard&Tankmedady [Paladin; G1], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Cellsham [Shaman; G5]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: dreamtonic&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:00:25.864  RABLOG_PLAYERS_WITH: emeraldmongoose&Tankmedady [Paladin; G1]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: emeraldmongoose&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:00:25.864  RABLOG_PLAYERS_WITHOUT: dreamwater&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:00:25.864  RABLOG_END: 10
12/30 20:05:55.982  RABLOG_PULL: 2025-12-30 20:05:55&20:05:55&03:53&10&bt_tank&Tankmedady&Nordanaar&Drube&RAID/31&Core Rager
12/30 20:05:55.982  RABLOG_BAR: 1&supdef&Superior Defense&3&31&9&0&&
12/30 20:05:55.982  RABLOG_BAR: 2&giftarthas&Gift of Arthas&2&31&6&0&&
12/30 20:05:55.982  RABLOG_BAR: 3&mongoose&Mongoose&7&31&22&0&&
12/30 20:05:55.982  RABLOG_BAR: 4&roids&R.O.I.D.S.&1&31&3&0&&
12/30 20:05:55.982  RABLOG_BAR: 5&titans&Flask of the Titans&3&31&9&0&&
12/30 20:05:55.982  RABLOG_BAR: 6&scorpok&Assay&2&31&6&0&&
12/30 20:05:55.982  RABLOG_BAR: 7&rumseyrum&Rumsey Black Label&0&31&0&0&&
12/30 20:05:55.982  RABLOG_BAR: 8&merlot&Medivh's Merlot&0&31&0&0&&
12/30 20:05:55.982  RABLOG_BAR: 9&giants&Elixir of Giants&7&15&46&0&& wd
12/30 20:05:55.982  RABLOG_BAR: 10&firewater&Winterfall Firewater&2&20&10&0&& wsd
12/30 20:05:55.982  RABLOG_BAR: 11&jujumight&Juju Might&0&20&0&0&& wsd
12/30 20:05:55.982  RABLOG_BAR: 12&mushroomstam&Hardened Mushrooms&0&31&0&0&&
12/30 20:05:55.982  RABLOG_BAR: 13&telabimdelight&Dononzo's TelAbim Delight&0&31&0&0&&
12/30 20:05:55.982  RABLOG_BAR: 14&greaterarcane&Greater Arcane Elixir&0&7&0&0&& as
12/30 20:05:55.982  RABLOG_BAR: 15&dreamshard&Dreamshard Elixir&3&7&42&0&& as
12/30 20:05:55.982  RABLOG_BAR: 16&dreamtonic&Dream Tonic&0&7&0&0&& as
12/30 20:05:55.982  RABLOG_BAR: 17&emeraldmongoose&C-Emerald Mongoose&1&7&14&0&& as
12/30 20:05:55.982  RABLOG_BAR: 18&dreamwater&C-Dreamwater&0&7&0&0&& as
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: supdef&Tankmedady [Paladin; G1], Drube [Druid; G1], Hooliganscha [Druid; G1]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: supdef&Mopsis [Hunter; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: giftarthas&Drube [Druid; G1], Hooliganscha [Druid; G1]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: giftarthas&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: mongoose&Mopsis [Hunter; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Voxii [Warrior; G3], Jidcat [Druid; G3], Kurzik [Warrior; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: roids&Drube [Druid; G1]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: roids&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: titans&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Bassilthorne [Warrior; G2]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: titans&Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: scorpok&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: scorpok&Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: rumseyrum&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: merlot&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: giants&Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Bassilthorne [Warrior; G2], Voxii [Warrior; G3], Jidcat [Druid; G3], Kurzik [Warrior; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: giants&Tumblemore [Druid; G2], Wixture [Warrior; G3], Littlemouth [Warrior; G3], Mewnfyre [Druid; G4], Buffnut [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Kittira [Druid; G6]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: firewater&Drube [Druid; G1], Voxii [Warrior; G3]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: firewater&Hooliganscha [Druid; G1], Thundrix [Shaman; G1], Bassilthorne [Warrior; G2], Saspatoon [Warrior; G2], Tumblemore [Druid; G2], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Wixture [Warrior; G3], Jidcat [Druid; G3], Littlemouth [Warrior; G3], Buffnut [Druid; G4], Waveh [Shaman; G4], Mewnfyre [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Cellsham [Shaman; G5], Kurzik [Warrior; G5], Kittira [Druid; G6]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: jujumight&Drube [Druid; G1], Hooliganscha [Druid; G1], Thundrix [Shaman; G1], Bassilthorne [Warrior; G2], Saspatoon [Warrior; G2], Tumblemore [Druid; G2], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Littlemouth [Warrior; G3], Buffnut [Druid; G4], Waveh [Shaman; G4], Mewnfyre [Druid; G4], Soccerball [Warrior; G5], Suntavilo [Warrior; G5], Cellsham [Shaman; G5], Kurzik [Warrior; G5], Kittira [Druid; G6]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: mushroomstam&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: telabimdelight&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: greaterarcane&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: dreamshard&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Boath [Paladin; G4]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: dreamshard&Tankmedady [Paladin; G1], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Cellsham [Shaman; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: dreamtonic&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITH: emeraldmongoose&Tankmedady [Paladin; G1]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: emeraldmongoose&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:05:55.982  RABLOG_PLAYERS_WITHOUT: dreamwater&Thundrix [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Totemstuffer [Shaman; G3], Waveh [Shaman; G4], Boath [Paladin; G4], Cellsham [Shaman; G5]
12/30 20:05:55.982  RABLOG_END: 10
12/30 20:10:54.373  RABLOG_PULL: 2025-12-30 20:10:54&20:10:54&04:02&10&bt_tank&Tankmedady&Nordanaar&Drube&RAID/31&Flamewaker Protector
12/30 20:10:54.373  RABLOG_BAR: 1&supdef&Superior Defense&3&31&9&0&&
12/30 20:10:54.373  RABLOG_BAR: 2&giftarthas&Gift of Arthas&1&31&3&0&&
12/30 20:10:54.373  RABLOG_BAR: 3&mongoose&Mongoose&7&31&22&0&&
12/30 20:10:54.373  RABLOG_BAR: 4&roids&R.O.I.D.S.&1&31&3&0&&
12/30 20:10:54.373  RABLOG_BAR: 5&titans&Flask of the Titans&3&31&9&0&&
12/30 20:10:54.373  RABLOG_BAR: 6&scorpok&Assay&2&31&6&0&&
12/30 20:10:54.373  RABLOG_BAR: 7&rumseyrum&Rumsey Black Label&0&31&0&0&&
12/30 20:10:54.373  RABLOG_BAR: 8&merlot&Medivh's Merlot&0&31&0&0&&
12/30 20:10:54.373  RABLOG_BAR: 9&giants&Elixir of Giants&7&15&46&0&& wd
12/30 20:10:54.373  RABLOG_BAR: 10&firewater&Winterfall Firewater&3&20&15&0&& wsd
12/30 20:10:54.373  RABLOG_BAR: 11&jujumight&Juju Might&0&20&0&0&& wsd
12/30 20:10:54.373  RABLOG_BAR: 12&mushroomstam&Hardened Mushrooms&0&31&0&0&&
12/30 20:10:54.373  RABLOG_BAR: 13&telabimdelight&Dononzo's TelAbim Delight&1&31&3&0&&
12/30 20:10:54.373  RABLOG_BAR: 14&greaterarcane&Greater Arcane Elixir&0&7&0&0&& as
12/30 20:10:54.373  RABLOG_BAR: 15&dreamshard&Dreamshard Elixir&3&7&42&0&& as
12/30 20:10:54.373  RABLOG_BAR: 16&dreamtonic&Dream Tonic&0&7&0&0&& as
12/30 20:10:54.373  RABLOG_BAR: 17&emeraldmongoose&C-Emerald Mongoose&1&7&14&0&& as
12/30 20:10:54.373  RABLOG_BAR: 18&dreamwater&C-Dreamwater&0&7&0&0&& as
12/30 20:10:54.373  RABLOG_PLAYERS_WITH: supdef&Tankmedady [Paladin; G1], Drube [Druid; G1], Hooliganscha [Druid; G1]
12/30 20:10:54.373  RABLOG_PLAYERS_WITHOUT: supdef&Mopsis [Hunter; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:10:54.373  RABLOG_PLAYERS_WITH: giftarthas&Drube [Druid; G1]
12/30 20:10:54.373  RABLOG_PLAYERS_WITHOUT: giftarthas&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:10:54.373  RABLOG_PLAYERS_WITH: mongoose&Mopsis [Hunter; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Voxii [Warrior; G3], Jidcat [Druid; G3], Kurzik [Warrior; G5]
12/30 20:10:54.373  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:10:54.373  RABLOG_PLAYERS_WITH: roids&Drube [Druid; G1]
12/30 20:10:54.373  RABLOG_PLAYERS_WITHOUT: roids&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 20:10:54.373  RABLOG_PLAYERS_WITH: titans&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Bassilthorne [Warrior; G2]
